,,,,,,,Unadjusted,Unadjusted,Unadjusted,Unadjusted,Adjusted,Adjusted,Adjusted,Adjusted
Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,Boston Celtics,E,A,42,17,.712,6.14,118.88,112.47,6.40,5.78,119.19,113.14,6.06
2,Cleveland Cavaliers,E,C,38,23,.623,5.62,116.78,110.92,5.86,5.60,116.81,110.97,5.84
3,Denver Nuggets,W,NW,41,18,.695,4.36,119.08,114.73,4.36,3.98,118.78,114.82,3.96
4,Memphis Grizzlies,W,SW,35,22,.614,3.91,114.83,110.95,3.88,3.80,114.41,110.65,3.76
5,Philadelphia 76ers,E,A,38,19,.667,3.89,117.40,113.50,3.90,3.52,117.13,113.59,3.54
6,Milwaukee Bucks,E,C,41,17,.707,3.22,114.51,111.37,3.14,3.11,114.52,111.48,3.05
7,New York Knicks,E,A,33,27,.550,2.23,117.82,115.45,2.37,2.27,117.88,115.47,2.41
8,Brooklyn Nets,E,A,34,24,.586,1.72,116.79,115.00,1.79,1.77,116.83,114.99,1.85
9,Oklahoma City Thunder,W,NW,28,29,.491,1.65,116.00,114.40,1.60,1.69,116.12,114.47,1.65
10,New Orleans Pelicans,W,SW,30,29,.508,1.41,114.99,113.60,1.38,1.44,115.03,113.62,1.41
11,Sacramento Kings,W,P,32,25,.561,2.28,118.72,116.65,2.07,1.58,118.59,117.22,1.37
12,Phoenix Suns,W,P,32,28,.533,1.37,115.13,113.82,1.31,1.29,114.98,113.76,1.23
13,Toronto Raptors,E,A,28,31,.475,0.86,116.43,115.55,0.88,0.87,116.50,115.61,0.90
14,Dallas Mavericks,W,SW,31,29,.517,0.48,117.31,116.83,0.48,0.65,117.22,116.60,0.63
15,Washington Wizards,E,SE,28,30,.483,0.29,115.42,115.12,0.30,0.45,115.73,115.27,0.46
16,Utah Jazz,W,NW,29,31,.483,0.33,117.73,117.55,0.18,0.37,117.81,117.61,0.21
17,Chicago Bulls,E,C,26,33,.441,-0.29,113.35,113.64,-0.30,0.04,113.53,113.46,0.07
18,Golden State Warriors,W,P,29,29,.500,0.09,116.02,115.97,0.05,0.04,115.92,115.92,0.00
19,Miami Heat,E,SE,32,27,.542,0.03,112.28,112.31,-0.03,0.01,112.22,112.26,-0.04
20,Minnesota Timberwolves,W,NW,31,30,.508,-0.07,114.51,114.48,0.02,-0.25,114.30,114.49,-0.19
21,Los Angeles Clippers,W,P,33,28,.541,0.31,114.71,114.47,0.24,-0.31,114.14,114.52,-0.39
22,Portland Trail Blazers,W,NW,28,30,.483,-0.16,117.95,118.28,-0.32,-0.31,117.89,118.37,-0.48
23,Atlanta Hawks,E,SE,29,30,.492,-0.36,115.47,115.82,-0.34,-0.58,115.53,116.11,-0.57
24,Los Angeles Lakers,W,P,27,32,.458,-1.15,114.33,115.49,-1.17,-1.21,113.90,115.13,-1.23
25,Indiana Pacers,E,C,26,34,.433,-2.63,114.33,116.90,-2.58,-2.16,114.82,116.93,-2.11
26,Orlando Magic,E,SE,24,35,.407,-2.76,112.48,115.27,-2.79,-2.49,112.51,115.01,-2.50
27,Charlotte Hornets,E,SE,17,43,.283,-6.42,110.71,117.11,-6.40,-6.04,110.95,116.96,-6.01
28,Detroit Pistons,E,C,15,44,.254,-7.59,112.17,119.76,-7.59,-6.81,112.60,119.38,-6.78
29,Houston Rockets,W,SW,13,45,.224,-8.40,110.65,119.16,-8.51,-8.06,110.63,118.82,-8.19
30,San Antonio Spurs,W,SW,14,45,.237,-10.17,111.27,121.26,-9.99,-9.86,111.53,121.23,-9.70
